estado,estimativa de entrega,tempo de entrega,atraso,em transito para distribuidora local,chegar na distribuidora Local,em armazen,em transito de entrega,count(id)
RR,13.2488418054767,33.7439806943759,20.4951388888992,0.709638101793826,33.0449760646559,0.402710648160428,0.296293981559575,5
AM,15.4851728964131,23.9447793779157,8.45960648150261,1.31000603688881,,,,24
TO,16.6142240565581,23.2625086384854,6.6482845819273,1.2021835121947,16.2809582352233,3.16605324065313,7.70646412046626,33
ES,11.9923630937844,23.0767778461162,11.0844147523319,1.01564319615099,7.40655587280363,8.22570399435095,7.70040504186488,237
PA,16.4628503065227,23.0684218962223,6.6055715896996,0.833809959456016,6.66874906879368,8.91718482350698,2.6594747095687,314
AC,12.2231000234329,22.0453861786296,9.82228615519679,0.71719752122382,16.816881396994,2.90500434028218,1.92929282407276,42
MT,14.3282240438042,21.9505340636408,7.62231001983663,0.819997687983726,13.7997748824039,3.23984871766802,3.16425965835967,140
RO,13.0252750926005,21.0533722203358,8.02809712773531,1.18502684051589,12.7103987624054,3.76339988428582,5.17900775778233,49
MA,14.4274392299045,20.1272618203607,5.69982259045625,1.10763339727081,11.1730106683338,4.27029431217089,1.68770091871071,259
SC,9.10724898816387,18.6331688992268,9.52591991106298,1.16987457142145,7.83772223364018,3.82744385558589,7.70780006504795,127
PI,12.5607813564974,18.3626868235536,5.80190546705625,1.00733052361437,11.165838999918,4.09686775030415,2.45067053318924,204
MS,11.2463316845962,17.2774352199313,6.03110353533517,1.34641396573491,6.53135068119167,2.22947719659498,8.02301763198239,55
PR,8.71610852160181,15.6361198150877,6.92001129348593,1.4344020471513,8.06233824184593,3.12335304540757,4.38428776578713,330
SP,5.99254786158289,15.1429787022982,9.15043084071535,1.32122998671147,5.52726500417277,3.62625846371611,5.96129532210264,966
RS,7.65228499289671,14.7928184392207,7.14053344632395,1.3880724586236,6.0650556770111,3.89850837999031,4.74251342573641,135
MG,8.3539670666513,14.7896740158963,6.435706949245,1.28741756684585,6.71022844170416,3.76807771028877,4.31176221897841,771
RN,8.83052757593948,13.2134205955482,4.38289301960874,1.01479362002734,8.96916532736063,1.44340943543043,2.60194116682061,116
GO,6.05124222854657,12.9800086307873,6.92876640224074,1.11640458144919,6.44726500092615,3.71237385449739,2.98289509891929,513
AP,6.76193026620895,12.884474247694,6.12254398148507,1.11590711800382,10.0465668402612,0.853525463119149,1.98438194431365,5
BA,8.09303122812794,12.8791332207375,4.78610199260953,1.48964751629864,7.58288788352809,2.37189060601385,2.88880319652461,740
CE,8.74063863853815,12.5635833385266,3.82294469998844,1.08926923393632,8.84528170165729,2.16283547795405,1.55500829946628,616
PE,7.56850093747314,12.3247259006822,4.75622496320905,1.36947802664268,9.19162007139223,0.981785251024372,2.08187636899191,478
PB,6.57777292468126,10.7996438972218,4.22187097254052,1.31731606157799,8.85919570145434,0.767147857814261,1.1101276764934,296
AL,6.04261863410508,10.3868411806958,4.34422254659069,1.61074061158772,6.91860274733522,1.74775649394352,1.40481558639556,157
SE,6.46352510425286,10.1695260143377,3.70600091008485,1.48843508367387,6.31518029579972,1.72944117992177,2.12490453861622,117
DF,3.68470817452953,9.55976101270188,5.87505283817235,1.20341193415494,3.56434960293095,2.1658987416647,4.01823443288915,207
RJ,4.15822407862204,8.71519385573349,4.55696977711145,1.42703785101172,3.99695825107206,2.17668906851183,2.41891693577599,906
